Model Used,Reference Area,REF_AREA,Indicator,Sex,Series Name,Series Category,Series Method,Series Type,Age Group of Women,Time Since First Birth,Series Year,Observation Status,Interval,Reference Date,Observation value,Standard Error,Unit of Measure,Lower Bound,Upper Bound
B3,India,IND,Under-five mortality rate,Total,UN IGME estimate 2019,,,,,,2019,Normal value,1,1972.5,207.1713581,,Deaths per 1000 live births,198.406302,216.4326556
B3,India,IND,Under-five mortality rate,Total,UN IGME estimate 2019,,,,,,2019,Normal value,1,1973.5,203.4688235,,Deaths per 1000 live births,195.1054883,212.5210525
B3,India,IND,Under-five mortality rate,Total,UN IGME estimate 2019,,,,,,2019,Normal value,1,1974.5,199.3544416,,Deaths per 1000 live births,191.1115647,208.1787197
B3,India,IND,Under-five mortality rate,Total,UN IGME estimate 2019,,,,,,2019,Normal value,1,1975.5,194.8739308,,Deaths per 1000 live births,186.9052574,203.3203617
B3,India,IND,Under-five mortality rate,Total,UN IGME estimate 2019,,,,,,2019,Normal value,1,1976.5,189.9022342,,Deaths per 1000 live births,182.3074886,197.9081035
B3,India,IND,Under-five mortality rate,Total,UN IGME estimate 2019,,,,,,2019,Normal value,1,1977.5,184.6252861,,Deaths per 1000 live births,177.3833063,192.1142583
B3,India,IND,Under-five mortality rate,Total,UN IGME estimate 2019,,,,,,2019,Normal value,1,1978.5,179.1604807,,Deaths per 1000 live births,172.1710519,186.2127715
B3,India,IND,Under-five mortality rate,Total,UN IGME estimate 2019,,,,,,2019,Normal value,1,1979.5,173.6363416,,Deaths per 1000 live births,166.9922679,180.1793169
B3,India,IND,Under-five mortality rate,Total,UN IGME estimate 2019,,,,,,2019,Normal value,1,1980.5,168.2036179,,Deaths per 1000 live births,161.8820641,174.5286082
B3,India,IND,Under-five mortality rate,Total,UN IGME estimate 2019,,,,,,2019,Normal value,1,1981.5,163.0555464,,Deaths per 1000 live births,157.0161074,169.0432429
B3,India,IND,Under-five mortality rate,Total,UN IGME estimate 2019,,,,,,2019,Normal value,1,1982.5,158.3128823,,Deaths per 1000 live births,152.4648381,164.0626927
B3,India,IND,Under-five mortality rate,Total,UN IGME estimate 2019,,,,,,2019,Normal value,1,1983.5,153.8739611,,Deaths per 1000 live births,148.1941115,159.4834869
B3,India,IND,Under-five mortality rate,Total,UN IGME estimate 2019,,,,,,2019,Normal value,1,1984.5,149.7092113,,Deaths per 1000 live births,144.2915759,155.1552393
B3,India,IND,Under-five mortality rate,Total,UN IGME estimate 2019,,,,,,2019,Normal value,1,1985.5,145.7247302,,Deaths per 1000 live births,140.5036255,150.9473914
B3,India,IND,Under-five mortality rate,Total,UN IGME estimate 2019,,,,,,2019,Normal value,1,1986.5,141.7813862,,Deaths per 1000 live births,136.7476315,146.824401
B3,India,IND,Under-five mortality rate,Total,UN IGME estimate 2019,,,,,,2019,Normal value,1,1987.5,137.7889399,,Deaths per 1000 live births,132.9878057,142.6910793
B3,India,IND,Under-five mortality rate,Total,UN IGME estimate 2019,,,,,,2019,Normal value,1,1988.5,133.8208487,,Deaths per 1000 live births,129.1830124,138.481342
B3,India,IND,Under-five mortality rate,Total,UN IGME estimate 2019,,,,,,2019,Normal value,1,1989.5,129.9224381,,Deaths per 1000 live births,125.4979129,134.4122727
B3,India,IND,Under-five mortality rate,Total,UN IGME estimate 2019,,,,,,2019,Normal value,1,1990.5,126.1699689,,Deaths per 1000 live births,121.9333816,130.5152836
B3,India,IND,Under-five mortality rate,Total,UN IGME estimate 2019,,,,,,2019,Normal value,1,1991.5,122.6445272,,Deaths per 1000 live births,118.4903206,126.8652811
B3,India,IND,Under-five mortality rate,Total,UN IGME estimate 2019,,,,,,2019,Normal value,1,1992.5,119.2816561,,Deaths per 1000 live births,115.2434941,123.3286626
B3,India,IND,Under-five mortality rate,Total,UN IGME estimate 2019,,,,,,2019,Normal value,1,1993.5,116.0304477,,Deaths per 1000 live births,112.1289669,120.0535497
B3,India,IND,Under-five mortality rate,Total,UN IGME estimate 2019,,,,,,2019,Normal value,1,1994.5,112.7684758,,Deaths per 1000 live births,108.8736601,116.6727266
B3,India,IND,Under-five mortality rate,Total,UN IGME estimate 2019,,,,,,2019,Normal value,1,1995.5,109.4352856,,Deaths per 1000 live births,105.6349324,113.3682434
B3,India,IND,Under-five mortality rate,Total,UN IGME estimate 2019,,,,,,2019,Normal value,1,1996.5,105.9653916,,Deaths per 1000 live births,102.3493528,109.8766229
B3,India,IND,Under-five mortality rate,Total,UN IGME estimate 2019,,,,,,2019,Normal value,1,1997.5,102.449963,,Deaths per 1000 live births,98.89021939,106.2046303
B3,India,IND,Under-five mortality rate,Total,UN IGME estimate 2019,,,,,,2019,Normal value,1,1998.5,98.84291062,,Deaths per 1000 live births,95.36811264,102.4882891
B3,India,IND,Under-five mortality rate,Total,UN IGME estimate 2019,,,,,,2019,Normal value,1,1999.5,95.20778656,,Deaths per 1000 live births,91.82189086,98.78425179
B3,India,IND,Under-five mortality rate,Total,UN IGME estimate 2019,,,,,,2019,Normal value,1,2000.5,91.59268016,,Deaths per 1000 live births,88.26282182,95.08379245
B3,India,IND,Under-five mortality rate,Total,UN IGME estimate 2019,,,,,,2019,Normal value,1,2001.5,88.00122099,,Deaths per 1000 live births,84.74277404,91.48515219
B3,India,IND,Under-five mortality rate,Total,UN IGME estimate 2019,,,,,,2019,Normal value,1,2002.5,84.50146006,,Deaths per 1000 live births,81.27099028,87.90842078
B3,India,IND,Under-five mortality rate,Total,UN IGME estimate 2019,,,,,,2019,Normal value,1,2003.5,81.08591247,,Deaths per 1000 live births,77.87603715,84.46989002
B3,India,IND,Under-five mortality rate,Total,UN IGME estimate 2019,,,,,,2019,Normal value,1,2004.5,77.72548578,,Deaths per 1000 live births,74.52279452,81.13297443
B3,India,IND,Under-five mortality rate,Total,UN IGME estimate 2019,,,,,,2019,Normal value,1,2005.5,74.42182182,,Deaths per 1000 live births,71.26666762,77.83418485
B3,India,IND,Under-five mortality rate,Total,UN IGME estimate 2019,,,,,,2019,Normal value,1,2006.5,71.12841177,,Deaths per 1000 live births,68.02064227,74.58514762
B3,India,IND,Under-five mortality rate,Total,UN IGME estimate 2019,,,,,,2019,Normal value,1,2007.5,67.88165252,,Deaths per 1000 live births,64.85540545,71.2812086
B3,India,IND,Under-five mortality rate,Total,UN IGME estimate 2019,,,,,,2019,Normal value,1,2008.5,64.64587337,,Deaths per 1000 live births,61.7192502,67.92584927
B3,India,IND,Under-five mortality rate,Total,UN IGME estimate 2019,,,,,,2019,Normal value,1,2009.5,61.41650698,,Deaths per 1000 live births,58.61403538,64.51771699
B3,India,IND,Under-five mortality rate,Total,UN IGME estimate 2019,,,,,,2019,Normal value,1,2010.5,58.2271731,,Deaths per 1000 live births,55.48686892,61.15165406
B3,India,IND,Under-five mortality rate,Total,UN IGME estimate 2019,,,,,,2019,Normal value,1,2011.5,55.09312951,,Deaths per 1000 live births,52.45124571,57.84084136
B3,India,IND,Under-five mortality rate,Total,UN IGME estimate 2019,,,,,,2019,Normal value,1,2012.5,52.06599596,,Deaths per 1000 live births,49.50256766,54.70125765
B3,India,IND,Under-five mortality rate,Total,UN IGME estimate 2019,,,,,,2019,Normal value,1,2013.5,49.11022964,,Deaths per 1000 live births,46.58548753,51.73666083
B3,India,IND,Under-five mortality rate,Total,UN IGME estimate 2019,,,,,,2019,Normal value,1,2014.5,46.28439116,,Deaths per 1000 live births,43.64974309,49.01122951
B3,India,IND,Under-five mortality rate,Total,UN IGME estimate 2019,,,,,,2019,Normal value,1,2015.5,43.59257864,,Deaths per 1000 live births,40.74819945,46.4694157
B3,India,IND,Under-five mortality rate,Total,UN IGME estimate 2019,,,,,,2019,Normal value,1,2016.5,41.07299656,,Deaths per 1000 live births,37.90167485,44.17584062
B3,India,IND,Under-five mortality rate,Total,UN IGME estimate 2019,,,,,,2019,Normal value,1,2017.5,38.69472222,,Deaths per 1000 live births,35.18025285,42.13787827
B3,India,IND,Under-five mortality rate,Total,UN IGME estimate 2019,,,,,,2019,Normal value,1,2018.5,36.57424006,,Deaths per 1000 live births,32.66784194,40.386634
,India,IND,Under-five mortality rate,Total,Census 2011 (Indirect),Census,Survey/Census with Summary Birth Histories,Indirect,45 to 49 years old,,2011,Included in IGME,,1995.4,96.1,,Deaths per 1000 live births,,
,India,IND,Under-five mortality rate,Total,Census 2011 (Indirect),Census,Survey/Census with Summary Birth Histories,Indirect,40 to 44 years old,,2011,Included in IGME,,1999.3,93.3,,Deaths per 1000 live births,,
,India,IND,Under-five mortality rate,Total,Census 2011 (Indirect),Census,Survey/Census with Summary Birth Histories,Indirect,35 to 39 years old,,2011,Included in IGME,,2002.4,89,,Deaths per 1000 live births,,
,India,IND,Under-five mortality rate,Total,Census 2011 (Indirect),Census,Survey/Census with Summary Birth Histories,Indirect,30 to 34 years old,,2011,Included in IGME,,2005.1,82.9,,Deaths per 1000 live births,,
,India,IND,Under-five mortality rate,Total,Census 2011 (Indirect),Census,Survey/Census with Summary Birth Histories,Indirect,25 to 29 years old,,2011,Included in IGME,,2007.4,82.7,,Deaths per 1000 live births,,
,India,IND,Under-five mortality rate,Total,Census 2011 (Indirect),Census,Survey/Census with Summary Birth Histories,Indirect,20 to 24 years old,,2011,Excluded from IGME,,2009,101.2,,Deaths per 1000 live births,,
,India,IND,Under-five mortality rate,Total,Census 2001 (Indirect),Census,Survey/Census with Summary Birth Histories,Indirect,45 to 49 years old,,2001,Excluded from IGME,,1986,88,,Deaths per 1000 live births,,
,India,IND,Under-five mortality rate,Total,Census 2001 (Indirect),Census,Survey/Census with Summary Birth Histories,Indirect,45 to 49 years old,,2001,Excluded from IGME,,1987.3,113.2,,Deaths per 1000 live births,,
,India,IND,Under-five mortality rate,Total,Census 2001 (Indirect),Census,Survey/Census with Summary Birth Histories,Indirect,40 to 44 years old,,2001,Excluded from IGME,,1989,98,,Deaths per 1000 live births,,
,India,IND,Under-five mortality rate,Total,Census 2001 (Indirect),Census,Survey/Census with Summary Birth Histories,Indirect,40 to 44 years old,,2001,Excluded from IGME,,1990.9,109,,Deaths per 1000 live births,,
,India,IND,Under-five mortality rate,Total,Census 2001 (Indirect),Census,Survey/Census with Summary Birth Histories,Indirect,35 to 39 years old,,2001,Excluded from IGME,,1991.9,94,,Deaths per 1000 live births,,
,India,IND,Under-five mortality rate,Total,Census 2001 (Indirect),Census,Survey/Census with Summary Birth Histories,Indirect,35 to 39 years old,,2001,Excluded from IGME,,1993,102.6,,Deaths per 1000 live births,,
,India,IND,Under-five mortality rate,Total,Census 2001 (Indirect),Census,Survey/Census with Summary Birth Histories,Indirect,30 to 34 years old,,2001,Excluded from IGME,,1994.6,92,,Deaths per 1000 live births,,
,India,IND,Under-five mortality rate,Total,Census 2001 (Indirect),Census,Survey/Census with Summary Birth Histories,Indirect,30 to 34 years old,,2001,Excluded from IGME,,1994.7,97.1,,Deaths per 1000 live births,,
,India,IND,Under-five mortality rate,Total,Census 2001 (Indirect),Census,Survey/Census with Summary Birth Histories,Indirect,25 to 29 years old,,2001,Excluded from IGME,,1996.4,95.6,,Deaths per 1000 live births,,
,India,IND,Under-five mortality rate,Total,Census 2001 (Indirect),Census,Survey/Census with Summary Birth Histories,Indirect,25 to 29 years old,,2001,Excluded from IGME,,1997.1,96,,Deaths per 1000 live births,,
,India,IND,Under-five mortality rate,Total,Census 2001 (Indirect),Census,Survey/Census with Summary Birth Histories,Indirect,20 to 24 years old,,2001,Excluded from IGME,,1998.1,102.3,,Deaths per 1000 live births,,
,India,IND,Under-five mortality rate,Total,Census 2001 (Indirect),Census,Survey/Census with Summary Birth Histories,Indirect,20 to 24 years old,,2001,Excluded from IGME,,1999.1,114,,Deaths per 1000 live births,,
,India,IND,Under-five mortality rate,Total,Census 1991 (Indirect),Census,Survey/Census with Summary Birth Histories,Indirect,45 to 49 years old,,1991,Excluded from IGME,,1976.8,120.5,,Deaths per 1000 live births,,
,India,IND,Under-five mortality rate,Total,Census 1991 (Indirect),Census,Survey/Census with Summary Birth Histories,Indirect,40 to 44 years old,,1991,Excluded from IGME,,1980.4,115,,Deaths per 1000 live births,,
,India,IND,Under-five mortality rate,Total,Census 1991 (Indirect),Census,Survey/Census with Summary Birth Histories,Indirect,35 to 39 years old,,1991,Excluded from IGME,,1982.8,104.9,,Deaths per 1000 live births,,
,India,IND,Under-five mortality rate,Total,Census 1991 (Indirect),Census,Survey/Census with Summary Birth Histories,Indirect,30 to 34 years old,,1991,Excluded from IGME,,1984.7,98.8,,Deaths per 1000 live births,,
,India,IND,Under-five mortality rate,Total,Census 1991 (Indirect),Census,Survey/Census with Summary Birth Histories,Indirect,25 to 29 years old,,1991,Excluded from IGME,,1986.5,92.1,,Deaths per 1000 live births,,
,India,IND,Under-five mortality rate,Total,Census 1991 (Indirect),Census,Survey/Census with Summary Birth Histories,Indirect,20 to 24 years old,,1991,Excluded from IGME,,1988.3,91.1,,Deaths per 1000 live births,,
,India,IND,Under-five mortality rate,Total,Census 1981 (Indirect),Census,Survey/Census with Summary Birth Histories,Indirect,45 to 49 years old,,1981,Excluded from IGME,,1966.5,165,,Deaths per 1000 live births,,
,India,IND,Under-five mortality rate,Total,Census 1981 (Indirect),Census,Survey/Census with Summary Birth Histories,Indirect,45 to 49 years old,,1981,Excluded from IGME,,1967.3,184.6,,Deaths per 1000 live births,,
,India,IND,Under-five mortality rate,Total,Census 1981 (Indirect),Census,Survey/Census with Summary Birth Histories,Indirect,40 to 44 years old,,1981,Excluded from IGME,,1969.4,165,,Deaths per 1000 live births,,
,India,IND,Under-five mortality rate,Total,Census 1981 (Indirect),Census,Survey/Census with Summary Birth Histories,Indirect,40 to 44 years old,,1981,Excluded from IGME,,1970.9,179.7,,Deaths per 1000 live births,,
,India,IND,Under-five mortality rate,Total,Census 1981 (Indirect),Census,Survey/Census with Summary Birth Histories,Indirect,35 to 39 years old,,1981,Excluded from IGME,,1972.1,157,,Deaths per 1000 live births,,
,India,IND,Under-five mortality rate,Total,Census 1981 (Indirect),Census,Survey/Census with Summary Birth Histories,Indirect,35 to 39 years old,,1981,Excluded from IGME,,1973.1,167,,Deaths per 1000 live births,,
,India,IND,Under-five mortality rate,Total,Census 1981 (Indirect),Census,Survey/Census with Summary Birth Histories,Indirect,30 to 34 years old,,1981,Excluded from IGME,,1974.7,150,,Deaths per 1000 live births,,
,India,IND,Under-five mortality rate,Total,Census 1981 (Indirect),Census,Survey/Census with Summary Birth Histories,Indirect,30 to 34 years old,,1981,Excluded from IGME,,1974.9,156.7,,Deaths per 1000 live births,,
,India,IND,Under-five mortality rate,Total,Census 1981 (Indirect),Census,Survey/Census with Summary Birth Histories,Indirect,25 to 29 years old,,1981,Excluded from IGME,,1976.6,145.2,,Deaths per 1000 live births,,
,India,IND,Under-five mortality rate,Total,Census 1981 (Indirect),Census,Survey/Census with Summary Birth Histories,Indirect,25 to 29 years old,,1981,Excluded from IGME,,1977,142,,Deaths per 1000 live births,,
,India,IND,Under-five mortality rate,Total,Census 1981 (Indirect),Census,Survey/Census with Summary Birth Histories,Indirect,20 to 24 years old,,1981,Excluded from IGME,,1978.3,139.3,,Deaths per 1000 live births,,
,India,IND,Under-five mortality rate,Total,Census 1981 (Indirect),Census,Survey/Census with Summary Birth Histories,Indirect,20 to 24 years old,,1981,Excluded from IGME,,1978.9,146,,Deaths per 1000 live births,,
,India,IND,Under-five mortality rate,Total,Sample Registration System 2017 (VR),SVR,Vital Registration,Vital Records,,,2017,Included in IGME,1,1969.5,201.9,,Deaths per 1000 live births,,
,India,IND,Under-five mortality rate,Total,Sample Registration System 2017 (VR),SVR,Vital Registration,Vital Records,,,2017,Included in IGME,1,1970.5,191.6,,Deaths per 1000 live births,,
,India,IND,Under-five mortality rate,Total,Sample Registration System 2017 (VR),SVR,Vital Registration,Vital Records,,,2017,Included in IGME,1,1971.5,215.4,,Deaths per 1000 live births,,
,India,IND,Under-five mortality rate,Total,Sample Registration System 2017 (VR),SVR,Vital Registration,Vital Records,,,2017,Included in IGME,1,1972.5,225.1,,Deaths per 1000 live births,,
,India,IND,Under-five mortality rate,Total,Sample Registration System 2017 (VR),SVR,Vital Registration,Vital Records,,,2017,Included in IGME,1,1973.5,178.8,,Deaths per 1000 live births,,
,India,IND,Under-five mortality rate,Total,Sample Registration System 2017 (VR),SVR,Vital Registration,Vital Records,,,2017,Included in IGME,1,1976.5,211,,Deaths per 1000 live births,,
,India,IND,Under-five mortality rate,Total,Sample Registration System 2017 (VR),SVR,Vital Registration,Vital Records,,,2017,Included in IGME,1,1977.5,209.7,,Deaths per 1000 live births,,
,India,IND,Under-five mortality rate,Total,Sample Registration System 2017 (VR),SVR,Vital Registration,Vital Records,,,2017,Included in IGME,1,1978.5,197.5,,Deaths per 1000 live births,,
,India,IND,Under-five mortality rate,Total,Sample Registration System 2017 (VR),SVR,Vital Registration,Vital Records,,,2017,Included in IGME,1,1980.5,179.4,,Deaths per 1000 live births,,
,India,IND,Under-five mortality rate,Total,Sample Registration System 2017 (VR),SVR,Vital Registration,Vital Records,,,2017,Included in IGME,1,1982.5,164.1,,Deaths per 1000 live births,,
,India,IND,Under-five mortality rate,Total,Sample Registration System 2017 (VR),SVR,Vital Registration,Vital Records,,,2017,Included in IGME,1,1983.5,161.7,,Deaths per 1000 live births,,
,India,IND,Under-five mortality rate,Total,Sample Registration System 2017 (VR),SVR,Vital Registration,Vital Records,,,2017,Included in IGME,1,1986.5,168.3,,Deaths per 1000 live births,,
,India,IND,Under-five mortality rate,Total,Sample Registration System 2017 (VR),SVR,Vital Registration,Vital Records,,,2017,Included in IGME,1,1987.5,154.9,,Deaths per 1000 live births,,
,India,IND,Under-five mortality rate,Total,Sample Registration System 2017 (VR),SVR,Vital Registration,Vital Records,,,2017,Included in IGME,1,1988.5,147.5,,Deaths per 1000 live births,,
,India,IND,Under-five mortality rate,Total,Sample Registration System 2017 (VR),SVR,Vital Registration,Vital Records,,,2017,Included in IGME,1,1989.5,133.7,,Deaths per 1000 live births,,
,India,IND,Under-five mortality rate,Total,Sample Registration System 2017 (VR),SVR,Vital Registration,Vital Records,,,2017,Included in IGME,1,1990.5,119.2,,Deaths per 1000 live births,,
,India,IND,Under-five mortality rate,Total,Sample Registration System 2017 (VR),SVR,Vital Registration,Vital Records,,,2017,Included in IGME,1,1991.5,120.1,,Deaths per 1000 live births,,
,India,IND,Under-five mortality rate,Total,Sample Registration System 2017 (VR),SVR,Vital Registration,Vital Records,,,2017,Included in IGME,1,1992.5,120,,Deaths per 1000 live births,,
,India,IND,Under-five mortality rate,Total,Sample Registration System 2017 (VR),SVR,Vital Registration,Vital Records,,,2017,Included in IGME,1,1993.5,108.4,,Deaths per 1000 live births,,
,India,IND,Under-five mortality rate,Total,Sample Registration System 2017 (VR),SVR,Vital Registration,Vital Records,,,2017,Included in IGME,1,1994.5,109.1,,Deaths per 1000 live births,,
,India,IND,Under-five mortality rate,Total,Sample Registration System 2017 (VR),SVR,Vital Registration,Vital Records,,,2017,Included in IGME,1,1995.5,110.5,,Deaths per 1000 live births,,
,India,IND,Under-five mortality rate,Total,Sample Registration System 2017 (VR),SVR,Vital Registration,Vital Records,,,2017,Included in IGME,1,1996.5,109.1,,Deaths per 1000 live births,,
,India,IND,Under-five mortality rate,Total,Sample Registration System 2017 (VR),SVR,Vital Registration,Vital Records,,,2017,Included in IGME,1,1997.5,106,,Deaths per 1000 live births,,
,India,IND,Under-five mortality rate,Total,Sample Registration System 2017 (VR),SVR,Vital Registration,Vital Records,,,2017,Included in IGME,1,1998.5,99.4,,Deaths per 1000 live births,,
,India,IND,Under-five mortality rate,Total,Sample Registration System 2017 (VR),SVR,Vital Registration,Vital Records,,,2017,Included in IGME,1,1999.5,97,,Deaths per 1000 live births,,
,India,IND,Under-five mortality rate,Total,Sample Registration System 2017 (VR),SVR,Vital Registration,Vital Records,,,2017,Included in IGME,1,2000.5,89.1,,Deaths per 1000 live births,,
,India,IND,Under-five mortality rate,Total,Sample Registration System 2017 (VR),SVR,Vital Registration,Vital Records,,,2017,Included in IGME,1,2001.5,88.1,,Deaths per 1000 live births,,
,India,IND,Under-five mortality rate,Total,Sample Registration System 2017 (VR),SVR,Vital Registration,Vital Records,,,2017,Included in IGME,1,2002.5,84.4,,Deaths per 1000 live births,,
,India,IND,Under-five mortality rate,Total,Sample Registration System 2017 (VR),SVR,Vital Registration,Vital Records,,,2017,Included in IGME,1,2003.5,84.7,,Deaths per 1000 live births,,
,India,IND,Under-five mortality rate,Total,Sample Registration System 2017 (VR),SVR,Vital Registration,Vital Records,,,2017,Included in IGME,1,2004.5,83.9,,Deaths per 1000 live births,,
,India,IND,Under-five mortality rate,Total,Sample Registration System 2017 (VR),SVR,Vital Registration,Vital Records,,,2017,Included in IGME,1,2005.5,79.5,,Deaths per 1000 live births,,
,India,IND,Under-five mortality rate,Total,Sample Registration System 2017 (VR),SVR,Vital Registration,Vital Records,,,2017,Included in IGME,1,2008.5,69,,Deaths per 1000 live births,,
,India,IND,Under-five mortality rate,Total,Sample Registration System 2017 (VR),SVR,Vital Registration,Vital Records,,,2017,Included in IGME,1,2009.5,64,,Deaths per 1000 live births,,
,India,IND,Under-five mortality rate,Total,Sample Registration System 2017 (VR),SVR,Vital Registration,Vital Records,,,2017,Included in IGME,1,2010.5,59,,Deaths per 1000 live births,,
,India,IND,Under-five mortality rate,Total,Sample Registration System 2017 (VR),SVR,Vital Registration,Vital Records,,,2017,Included in IGME,1,2011.5,55,,Deaths per 1000 live births,,
,India,IND,Under-five mortality rate,Total,Sample Registration System 2017 (VR),SVR,Vital Registration,Vital Records,,,2017,Included in IGME,1,2012.5,52,,Deaths per 1000 live births,,
,India,IND,Under-five mortality rate,Total,Sample Registration System 2017 (VR),SVR,Vital Registration,Vital Records,,,2017,Included in IGME,1,2013.5,49,,Deaths per 1000 live births,,
,India,IND,Under-five mortality rate,Total,Sample Registration System 2017 (VR),SVR,Vital Registration,Vital Records,,,2017,Included in IGME,1,2014.5,45,,Deaths per 1000 live births,,
,India,IND,Under-five mortality rate,Total,Sample Registration System 2017 (VR),SVR,Vital Registration,Vital Records,,,2017,Included in IGME,1,2015.5,43,,Deaths per 1000 live births,,
,India,IND,Under-five mortality rate,Total,Sample Registration System 2017 (VR),SVR,Vital Registration,Vital Records,,,2017,Included in IGME,1,2016.5,39,,Deaths per 1000 live births,,
,India,IND,Under-five mortality rate,Total,Sample Registration System 2017 (VR),SVR,Vital Registration,Vital Records,,,2017,Included in IGME,1,2017.5,37,,Deaths per 1000 live births,,
,India,IND,Under-five mortality rate,Total,National Family Health Survey 2015-2016 (Direct),DHS,Survey/Census with Full Birth Histories,Direct,,,2015-2016,Excluded from IGME,2,1992,83.57867,2.610615,Deaths per 1000 live births,,
,India,IND,Under-five mortality rate,Total,National Family Health Survey 2015-2016 (Direct),DHS,Survey/Census with Full Birth Histories,Direct,,,2015-2016,Excluded from IGME,2,1994,74.28959,2.088034,Deaths per 1000 live births,,
,India,IND,Under-five mortality rate,Total,National Family Health Survey 2015-2016 (Direct),DHS,Survey/Census with Full Birth Histories,Direct,,,2015-2016,Excluded from IGME,2,1996,69.27934,1.986154,Deaths per 1000 live births,,
,India,IND,Under-five mortality rate,Total,National Family Health Survey 2015-2016 (Direct),DHS,Survey/Census with Full Birth Histories,Direct,,,2015-2016,Excluded from IGME,2,1998,64.81636,1.692108,Deaths per 1000 live births,,
,India,IND,Under-five mortality rate,Total,National Family Health Survey 2015-2016 (Direct),DHS,Survey/Census with Full Birth Histories,Direct,,,2015-2016,Excluded from IGME,2,2000,65.41184,1.897331,Deaths per 1000 live births,,
,India,IND,Under-five mortality rate,Total,National Family Health Survey 2015-2016 (Direct),DHS,Survey/Census with Full Birth Histories,Direct,,,2015-2016,Excluded from IGME,2,2002,59.9199,1.631906,Deaths per 1000 live births,,
,India,IND,Under-five mortality rate,Total,National Family Health Survey 2015-2016 (Direct),DHS,Survey/Census with Full Birth Histories,Direct,,,2015-2016,Excluded from IGME,2,2004,57.91448,1.43622,Deaths per 1000 live births,,
,India,IND,Under-five mortality rate,Total,National Family Health Survey 2015-2016 (Direct),DHS,Survey/Census with Full Birth Histories,Direct,,,2015-2016,Excluded from IGME,2,2006,57.00414,1.561269,Deaths per 1000 live births,,
